Certificate of Inspection,Inspection Number,Date of Occurance,Year (added),Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0188693,INS-000784023,09/18/2024,2024,BA-1232170-2022,CONDUIT SERVICES INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,13011,N CONDUIT AVE,,,,SOUTH OZONE PARK,NY,11420,Queens,410,28,4257406,4118640013,QN55,40.66707497,-73.80993272
A0188615,INS-000783900,09/18/2024,2024,BA-1332830-2022,"LOU-CAL SERVICE STATION, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3467,FRANCIS LEWIS BLVD,,,,FLUSHING,NY,11358,Queens,411,19,4135128,4060770043,QN46,40.76534519,-73.78905001
A0188393,INS-000783565,09/17/2024,2024,BA-1456247-2022,MORNINGSTAR AUTO SERVICE CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,11901,ATLANTIC AVE,,,,RICHMOND HILL,NY,11418,Queens,409,29,4196684,4093510040,QN54,40.69410082,-73.82785392
A0188375,INS-000783531,09/17/2024,2024,BA-1447826-2022,"RICHMOND ROAD AMOCO, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,708,RICHMOND RD,,,,STATEN ISLAND,NY,10304,Staten Island,501,49,5043693,5029040050,SI08,40.60970191,-74.08974403
A0188317,INS-000783438,09/17/2024,2024,BA-1554897-2022,TAMAQUA MARINA INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,1,0,2,Confiscated,Complete Address,84,EBONY CT,,,,BROOKLYN,NY,11229,Brooklyn,315,46,3250140,3089460024,BK17,40.59435858,-73.93015632
A0188210,INS-000783256,09/16/2024,2024,BA-1192651-2022,D M OIL CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,13898,QUEENS BLVD,,,,JAMAICA,NY,11435,Queens,408,24,4206492,4096440021,QN35,40.70647092,-73.81680317
A0187902,INS-000782631,09/12/2024,2024,BA-1334441-2022,K.S. FUEL INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,2,Confiscated,Complete Address,1081,LEGGETT AVE,,,,BRONX,NY,10474,Bronx,202,17,2094342,2027360021,BX27,40.81227834,-73.89626961
A0178252,INS-000762494,07/16/2024,2024,BA-1462683-2022,NOR-TOPIA SERVICE STATION INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,17211,NORTHERN BLVD,,,,FLUSHING,NY,11358,Queens,407,19,4120988,4053630001,QN51,40.75774548,-73.79387844
A0178236,INS-000762447,07/16/2024,2024,BA-1554126-2022,SPEEDWAY LLC,SPEEDWAY #7836,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,2400,FLATBUSH AVE,,,,BROOKLYN,NY,11234,Brooklyn,318,46,3241308,3085280001,BK45,40.61176265,-73.92471397
A0178046,INS-000761939,07/15/2024,2024,BA-1536716-2022,TRIDEV PETROLEUM INC,GULF,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,765,PENNSYLVANIA AVENUE,,,,BROOKLYN,NY,11207,Brooklyn,305,42,3097326,3043230040,BK82,40.65913545,-73.89105813
A0177416,INS-000760758,07/10/2024,2024,BA-1129927-2022,1665 GAS CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,1665,BARTOW AVE,,,,BRONX,NY,10469,Bronx,212,12,2062503,2047870028,BX03,40.86662865,-73.83854303
A0177142,INS-000760238,07/09/2024,2024,BA-1124139-2022,BROADWAY AUTO TECH INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,1,0,2,Confiscated,Complete Address,4275,BROADWAY,,,,NEW YORK,NY,10033,Manhattan,112,10,1085724,1021800095,MN35,40.85087561,-73.93538483
A0176564,INS-000759103,07/03/2024,2024,BA-1109632-2022,BFB SERVICE INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,1865,BRUCKNER BLVD,,,,BRONX,NY,10472,Bronx,209,18,2094847,2037310001,BX55,40.82601254,-73.86187502
A0176486,INS-000758964,07/03/2024,2024,BA-1212953-2022,DYSAK LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,2,2,Confiscated,Complete Address,4202,21ST ST,,,,LONG ISLAND CITY,NY,11101,Queens,402,26,4005272,4004570175,QN31,40.75191372,-73.94443179
A0176513,INS-000759017,07/03/2024,2024,BA-1241063-2022,CITY AUTO SERVICE INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,3901,21ST ST,,,,LONG IS CITY,NY,11101,Queens,401,26,4004744,4003920018,QN68,40.75629497,-73.94020863
A0175696,INS-000757353,06/28/2024,2024,BA-1568053-2023,3010 GAS CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3010,OCEAN AVE,,,,BROOKLYN,NY,11235,Brooklyn,315,48,3205031,3074640016,BK17,40.58758891,-73.94918061
A0175638,INS-000757264,06/28/2024,2024,BA-1119002-2022,6002 GAS CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,6002,18TH AVE,,,,BROOKLYN,NY,11204,Brooklyn,312,44,3132114,3055180038,BK88,40.62193136,-73.98735976
A0175410,INS-000756805,06/27/2024,2024,BA-1660781-2023,MARKS  MOTORS INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3046,CONEY ISLAND AVE,,,,BROOKLYN,NY,11235,Brooklyn,313,48,3244545,3086680820,BK19,40.58188947,-73.95994557
A0175419,INS-000756828,06/27/2024,2024,BA-1409780-2022,RAM JAN OIL CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,2111,ATLANTIC AVE,,,,BROOKLYN,NY,11233,Brooklyn,316,37,3042667,3015690035,BK79,40.67627337,-73.90950664
A0175419,INS-000756828,06/27/2024,2024,BA-1409780-2022,RAM JAN OIL CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Single,2,1,2,Confiscated,Complete Address,2111,ATLANTIC AVE,,,,BROOKLYN,NY,11233,Brooklyn,316,37,3042667,3015690035,BK79,40.67627337,-73.90950664
A0175279,INS-000756533,06/26/2024,2024,BA-1286149-2022,JAMAICA ISLAND CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,32,JAMAICA AVE,,,,BROOKLYN,NY,11207,Brooklyn,305,37,3083103,3036580006,BK82,40.67747211,-73.8987578
A0175185,INS-000756313,06/25/2024,2024,BA-1418682-2022,MUKTI E 163RD PETROLEUM INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,481,E 163RD ST,,,,BRONX,NY,10451,Bronx,203,16,2115276,2023680002,BX35,40.82461404,-73.9104792
A0175085,INS-000756128,06/25/2024,2024,BA-1129221-2022,BOLLA OPERATING CORP.,KINGS HENDRIX C-STORE,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,2816,ATLANTIC AVE,,,,BROOKLYN,NY,11207,Brooklyn,305,37,3380467,3039630008,BK82,40.67661617,-73.89024004
A0174881,INS-000755739,06/24/2024,2024,BA-1100988-2022,BARNEYS SERVICE STATION,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,20005,HORACE HARDING EXPY,,,,OAKLAND GARDENS,NY,11364,Queens,411,20,4160380,4074510032,QN46,40.74395984,-73.77546908
A0174777,INS-000755488,06/21/2024,2024,BA-1324695-2022,HICKSVILLE FUNDING LLC,LOTUS MARKETPLACE,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,1220,E 233RD ST,,,,BRONX,NY,10466,Bronx,212,12,2066188,2049340066,BX62,40.88850334,-73.84212829
A0174629,INS-000755188,06/20/2024,2024,BA-1460294-2022,PARKVIEW SERVICE CENTER INC,MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,6161,BROADWAY,,,,BRONX,NY,10471,Bronx,208,11,2084348,2058141182,BX22,40.89499031,-73.89661437
A0174569,INS-000755141,06/20/2024,2024,BA-1424834-2022,MEEKER PETROLEUM INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,546,MORGAN AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,34,3069697,3028100001,BK90,40.72289346,-73.93904084
A0174299,INS-000754580,06/18/2024,2024,BA-1695457-2024,quickfill llc,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,15018,LIBERTY AVE,,,,JAMAICA,NY,11433,Queens,412,28,4000000,4101100015,QN61,40.69795162,-73.80216317
A0172651,INS-000751257,06/06/2024,2024,BA-1260230-2022,COOPER AVENUE GAS INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,7313,COOPER AVE,,,,GLENDALE,NY,11385,Queens,405,32,4437869,4036910019,QN19,40.7042231,-73.87670559
A0174117,INS-000754236,06/17/2024,2024,BA-1127193-2022,BOLLA OPERATING CORP.,KINGS CONEY-P MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,1935,CONEY ISLAND AVE,,,,BROOKLYN,NY,11230,Brooklyn,314,48,3425436,3067580051,BK43,40.61044446,-73.96246038
A0173943,INS-000753772,06/14/2024,2024,BA-1109904-2022,86 FRIENDLY STAR INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,8521,7TH AVE,,,,BROOKLYN,NY,11228,Brooklyn,310,47,3153257,3060380001,BK30,40.6190289,-74.0209821
A0173762,INS-000753438,06/13/2024,2024,BA-1615457-2023,JNK AUTO SERVICE INC,MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,18105,HORACE HARDING EXPY,,,,FRESH MEADOWS,NY,11365,Queens,411,20,4152718,4070650008,QN48,40.73951549,-73.79272595
A0173720,INS-000753374,06/13/2024,2024,BA-1409814-2022,ORLANOU GROUP INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,9701,DITMAS AVE,,,,BROOKLYN,NY,11236,Brooklyn,317,42,3228430,3081150006,BK96,40.65161412,-73.90932386
A0173137,INS-000752358,06/11/2024,2024,BA-1715385-2024,ROCKAWAY 100 INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,10007,ROCKAWAY BLVD,,,,OZONE PARK,NY,11417,Queens,410,28,4620033,4095210018,QN55,40.6799517,-73.83938438
A0173448,INS-000752894,06/12/2024,2024,BA-1101724-2022,175-33 HORACE HARDING EXPRESSWAY SERVICE CENTER INC,GAS SALE,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,17533,HORACE HARDING EXPY,,,,FRESH MEADOWS,NY,11365,Queens,411,20,4148797,4068900024,QN48,40.73924824,-73.79369389
A0172932,INS-000751793,06/10/2024,2024,BA-1191519-2022,"G & F AUTO SERVICE, INC.",SUNOCO,Gas Station-Retail - 815,WAM - Other,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,7202,ROOSEVELT AVE,,,,JACKSON HEIGHTS,NY,11372,Queens,404,25,4030416,4013040032,QN50,40.74663531,-73.89337998
A0172936,INS-000751909,06/10/2024,2024,BA-1121809-2022,354 HAMILTON GAS INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,354,HAMILTON AVE,,,,BROOKLYN,NY,11231,Brooklyn,306,38,3331445,3005520025,BK33,40.67408294,-74.00005408
A0172803,INS-000751600,06/07/2024,2024,BA-1319950-2022,GIZEX CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,538,3 AVENUE,,,,BROOKLYN,NY,11215,Brooklyn,306,38,3023317,3010320033,BK37,40.66896922,-73.99311128
A0172689,INS-000751332,06/06/2024,2024,BA-1668711-2023,NAGLE FUEL CORP.,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,2,Confiscated,Complete Address,265,NAGLE AVE,,,,NEW YORK,NY,10034,Manhattan,112,10,1064706,1022160058,MN01,40.86314612,-73.92051402
A0172761,INS-000751519,06/07/2024,2024,BA-1291151-2022,JASWICK MART INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,456,BUSHWICK AVENUE,,,,BROOKLYN,NY,11206,Brooklyn,304,34,3000000,3031380032,BK78,40.70181805,-73.93695028
A0172559,INS-000751102,06/06/2024,2024,BA-1228922-2022,CYPRESS STATION INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,960,CYPRESS AVE,,,,RIDGEWOOD,NY,11385,Queens,405,34,4085602,4035500055,QN20,40.69868254,-73.90378896
A0172438,INS-000750858,06/05/2024,2024,BA-1124139-2022,BROADWAY AUTO TECH INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,4275,BROADWAY,,,,NEW YORK,NY,10033,Manhattan,112,10,1085724,1021800095,MN35,40.85087561,-73.93538483
A0172350,INS-000750692,06/05/2024,2024,BA-1537969-2022,ROCKAWAY BEACH MART INC,GULF,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,11520,BEACH CHANNEL DR,,,,ROCKAWAY PARK,NY,11694,Queens,414,32,4303764,4161660317,QN10,40.58193005,-73.83771207
A0172353,INS-000750698,06/05/2024,2024,BA-1113051-2022,BOLLA OPERATING CORP.,KINGS KNAPP MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,2402,KNAPP ST,,,,BROOKLYN,NY,11235,Brooklyn,315,46,3203760,3074290010,BK17,40.59428888,-73.93295777
A0172099,INS-000750231,06/04/2024,2024,BA-1108596-2022,BOLLA OPERATING CORP.,KINGS KNAPP MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,2624,CONEY ISLAND AVE,,,,BROOKLYN,NY,11223,Brooklyn,315,48,3385666,3071840085,BK25,40.59277289,-73.9607816
A0172097,INS-000750228,06/04/2024,2024,BA-1558535-2022,"STATEN ISLAND YACHT SALES, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,1,0,2,Confiscated,Complete Address,222,MANSION AVE,,,,STATEN ISLAND,NY,10308,Staten Island,503,51,5066182,5052070007,SI54,40.54293102,-74.14214527
A0172041,INS-000750116,06/04/2024,2024,BA-1200638-2022,CITY ISLAND YACHT & MARINA INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,1,0,2,Confiscated,Complete Address,673,CITY ISLAND AVE,,,,BRONX,NY,10464,Bronx,210,13,2100414,2056360158,BX10,40.85621383,-73.79144769
A0171848,INS-000749619,05/31/2024,2024,BA-1662038-2023,"James Joyce, Inc.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,1982,BRONXDALE AVE,,,,BRONX,NY,10462,Bronx,211,13,2048024,2042610060,BX37,40.84977896,-73.86414623
A0171232,INS-000748286,05/28/2024,2024,BA-1195877-2022,ELITE OIL CORPORATION,MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,18108,HORACE HARDING EXPY,,,,FRESH MEADOWS,NY,11365,Queens,408,24,4152751,4070700002,QN41,40.73893076,-73.79267364
A0171211,INS-000748239,05/28/2024,2024,BA-1429128-2022,MUKTI 187 PETROLEUM INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,18741,HILLSIDE AVE,,,,JAMAICA,NY,11432,Queens,408,24,4213408,4099600001,QN06,40.71495358,-73.77427539
A0170855,INS-000747479,05/23/2024,2024,BA-1080557-2022,100-17 BEACH CHANNEL DR. CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,10017,BEACH CHANNEL DR,,,,ROCKAWAY PARK,NY,11694,Queens,414,32,4303703,4161560040,QN10,40.58602781,-73.82269245
A0171051,INS-000747876,05/24/2024,2024,BA-1458846-2022,MASPETH PETROLEUM INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,6093,FLUSHING AVE,,,,MASPETH,NY,11378,Queens,405,30,4060234,4026970051,QN30,40.72078398,-73.90451103
A0170871,INS-000747506,05/23/2024,2024,BA-1572857-2023,KING'S NORTHERN BLVD GAS CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3417,NORTHERN BLVD,,,,LONG ISLAND CITY,NY,11101,Queens,401,26,4004572,4003790001,QN68,40.75202655,-73.92988634
A0170620,INS-000747064,05/22/2024,2024,BA-1102819-2022,1738 GAS CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,1738,E GUN HILL RD,,FRNT,1,BRONX,NY,10469,Bronx,211,13,2053519,2044940046,BX31,40.86457612,-73.83502302
A0170523,INS-000746887,05/22/2024,2024,BA-1128537-2022,3801 BEACH CHANNEL GAS AND GROCERY INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3801,BEACH CHANNEL DR,,,,FAR ROCKAWAY,NY,11691,Queens,414,31,4301762,4158280030,QN12,40.59597924,-73.77078507
A0170545,INS-000746924,05/22/2024,2024,BA-1333363-2022,IN & OUT O.S. CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,2,Confiscated,Complete Address,410,CITY ISLAND AVE,,,,BRONX,NY,10464,Bronx,210,13,2082720,2056450006,BX10,40.85003681,-73.78766089
A0170294,INS-000746436,05/21/2024,2024,BA-1359001-2022,GUN HILL FUEL CORP,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,1255,EAST GUN HILL ROAD,,,,BRONX,NY,10469,Bronx,212,12,2060519,2047330072,BX03,40.87232084,-73.85053368
A0170258,INS-000746363,05/21/2024,2024,BA-1428921-2022,MAZ'S MART CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,2100,WILLIAMSBRIDGE RD,,,,BRONX,NY,10461,Bronx,211,13,2110996,2043100030,BX49,40.85566128,-73.85545123
A0169989,INS-000745912,05/20/2024,2024,BA-1649324-2023,BOLLA OPERATING CORP.,MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,22401,N CONDUIT AVE,,,,LAURELTON,NY,11413,Queens,413,31,4620993,4130880044,QN66,40.66640473,-73.75200074
A0169989,INS-000745912,05/20/2024,2024,BA-1649324-2023,BOLLA OPERATING CORP.,MOBIL,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Petrol Pump Diesel,4,3,2,Confiscated,Complete Address,22401,N CONDUIT AVE,,,,LAURELTON,NY,11413,Queens,413,31,4620993,4130880044,QN66,40.66640473,-73.75200074
A0169783,INS-000745412,05/17/2024,2024,BA-1183361-2022,"EAGLE SERVICE CENTER, LLC",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,4905,ASTORIA BLVD,,,,EAST ELMHURST,NY,11370,Queens,401,22,4021768,4010000035,QN72,40.76772487,-73.90142567
A0169301,INS-000744425,05/15/2024,2024,BA-1584571-2023,BOLLA OPERATING CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,14920,ROCKAWAY BLVD,,,,JAMAICA,NY,11436,Queens,412,28,4262729,4121040022,QN76,40.67310673,-73.78874692
A0169585,INS-000745028,05/16/2024,2024,BA-1418707-2022,NOR-PARSONS SERVICE CENTER INC.,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,7315,PARSONS BLVD,,,,FLUSHING,NY,11366,Queens,408,24,4147760,4068220020,QN37,40.72701399,-73.81078281
A0169593,INS-000745036,05/16/2024,2024,BA-1117869-2022,6M HOLDINGS INC,GULF,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,418,CONEY ISLAND AVE,,,,BROOKLYN,NY,11218,Brooklyn,312,40,3256668,3053310015,BK40,40.64778162,-73.97126826
A0169608,INS-000745065,05/16/2024,2024,BA-1305817-2022,"HAMILTON GAS & CONVENIENCE, INC.",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,5,2,2,Confiscated,Complete Address,327,HAMILTON AVE,,,,BROOKLYN,NY,11231,Brooklyn,306,39,3005690,3003820001,BK33,40.67510674,-74.00064892
A0169020,INS-000743850,05/14/2024,2024,BA-1556573-2022,VALLEY SHELL LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,4707,ARTHUR KILL ROAD,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5087233,5076140020,SI11,40.52789805,-74.23937012
A0168849,INS-000743493,05/13/2024,2024,BA-1607430-2023,BOLLA OPERATING CORP.,BOLLA 130-37 MERRICK BLVD,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,173-12,HORACE HARDING EXPRESSWAY SR S,,,,FRESH MEADOWS,NY,11365,Queens,408,24,4000000,4069020018,QN41,40.73803341,-73.79585193
A0168866,INS-000743526,05/13/2024,2024,BA-1309256-2022,"KAP FUEL & FOOD, INC",,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,5,1,2,Confiscated,Complete Address,970,BLOOMINGDALE RD,,,,STATEN ISLAND,NY,10309,Staten Island,503,51,5136150,5071040015,SI11,40.54948723,-74.22099517
A0186800,INS-000780419,09/06/2024,2024,BA-1110370-2022,BIG APPLE BUSINESS CORP.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3170,ATLANTIC AVE,,,,BROOKLYN,NY,11208,Brooklyn,305,37,3093131,3041530034,BK82,40.67978798,-73.8781893
A0186852,INS-000780511,09/06/2024,2024,BA-1541049-2022,S & M BRONX INC,BP,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,3276,JEROME AVE,,,,BRONX,NY,10468,Bronx,207,11,2088439,2033230055,BX05,40.87859176,-73.88597587
A0186657,INS-000780163,09/05/2024,2024,BA-1697300-2024,AMG RETAIL I LLC #97,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,211,TAPSCOTT ST,,,,BROOKLYN,NY,11212,Brooklyn,316,41,3081794,3035650030,BK81,40.6624966,-73.91961412
A0186028,INS-000779013,09/03/2024,2024,BA-1707944-2024,PRITMAN GAS INC.,Sunoco,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,2,Confiscated,Complete Address,8820,ASTORIA BLVD,,,,EAST ELMHURST,NY,11369,Queens,403,22,4032338,4013620006,QN28,40.76368133,-73.88055197
A0185893,INS-000778716,08/30/2024,2024,BA-1707700-2024,BH 3290 SUNRISE INC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,4,0,2,Confiscated,Complete Address,3290,WEBSTER AVE,,,,BRONX,NY,10467,Bronx,207,11,2000000,2033570111,BX43,40.87335681,-73.87460936
A0185651,INS-000778355,08/29/2024,2024,BA-1106853-2022,4315 JUNCTION PETROLEUM LLC,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,43-15,JUNCTION BOULEVARD,,,,CORONA,NY,11368,Queens,404,21,4040396,4016130001,QN26,40.74543704,-73.86803288
A0185605,INS-000778274,08/29/2024,2024,BA-1668969-2023,SUPREME GAS LLC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,13435,101ST AVE,,,,S RICHMOND HL,NY,11419,Queens,409,28,,4094830030,QN54,40.69355397,-73.81335516
A0185388,INS-000777880,08/28/2024,2024,BA-1583975-2023,SUNRISE TRUCK PARTS INC.,,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,2,0,2,Confiscated,Complete Address,8719,ROCKAWAY BLVD,,,,OZONE PARK,NY,11416,Queens,409,32,4188351,4090600025,QN53,40.68274181,-73.85275415
A0176250,INS-000758525,07/02/2024,2024,BA-1679322-2023,AMG RETAIL I. LLC,Mobile,Gas Station-Retail - 815,WAM - Petroleum,Gas Station,Gas Pumps,Octane Sample,3,0,2,Confiscated,Complete Address,196-03,GRAND CENTRAL PARKWAY,,,,HOLLIS,NY,11423,Queens,408,23,4552141,4200069999,QN99,40.72510641,-73.77146297
